"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"538092","VASUPRADA","Joonktollee Tea & Industr","X","1.0000","1","ES","E","BSE","83.6000","68.4000","","","-1"
"524000","POONAWALLA","Poonawalla Fincorp","A","5.0000","1","ES","E","BSE","446.9000","298.0000","","","-1"
"19292","TERASOFT","Tera Software","EQ","5.0000","1","ES","E","NSE","42.5500","38.5500","","","409138"
"4055","PANACEABIO","Panacea Biotec","EQ","5.0000","1","ES","E","NSE","192.6500","128.4500","","","622858"
"520059","MUNJALAU","Munjal Auto Industries","B","1.0000","1","ES","E","BSE","67.8200","45.2200","","","-1"
"14838","DECCANCE","Deccan Cements","EQ","5.0000","1","ES","E","NSE","632.2500","421.5500","","","189787"
"526797","GREENPLY","Greenply Industries","B","5.0000","1","ES","E","BSE","202.2000","134.8000","","","-1"
"9685","TRIDENT","Trident","EQ","5.0000","1","ES","E","NSE","45.4000","30.3000","","","2639705"
"523826","SOVERDIA","Sovereign Diamonds","X","1.0000","1","ES","E","BSE","27.3000","18.2000","","","-1"
"628","CESC","CESC","EQ","5.0000","1","ES","E","NSE","109.2000","72.8000","","","1098897"
"526001","JAUSPOL","Jauss Polymers","X","1.0000","1","ES","E","BSE","5.0000","4.5400","","","-1"
"530055","HRMNYCP","Harmony Capital Services","XT","1.0000","1","ES","E","BSE","39.1900","37.6700","","","-1"
"521216","DHANROTO","Dhanalaxmi Roto Spinners","XT","5.0000","1","ES","E","BSE","110.4000","99.9000","","","-1"
"16705","GOKUL","Gokul Refoils & Solv","EQ","5.0000","1","ES","E","NSE","44.2000","29.5000","","","2713650"
"540497","SCHAND","S Chand And Company","B","5.0000","1","ES","E","BSE","336.3500","224.2500","","","-1"
"533576","VASWANI","Vaswani Industries","B","1.0000","1","ES","E","BSE","38.5800","25.7200","","","-1"
"532180","DHANBANK","Dhanlaxmi Bank","B","1.0000","1","ES","E","BSE","34.0300","22.6900","","","-1"
"522205","PRAJIND","Praj Industries","A","5.0000","1","ES","E","BSE","707.1500","471.4500","","","-1"
"531982","SPECFOOD","Spectrum Foods","X","1.0000","1","ES","E","BSE","66.3200","44.2200","","","-1"
"6893","VARDMNPOLY","Vardhman Polytex","BE","5.0000","1","ES","E","NSE","62.4500","60.0500","","","728914"
"8024","CINEVISTA","CINEVISTA LIMITED","EQ","5.0000","1","ES","E","NSE","16.0500","13.1500","","","1878172"
"531158","CATVISION","Catvision","X","1.0000","1","ES","E","BSE","15.5400","12.7200","","","-1"
"517467","MARSONS","Marsons","Z","1.0000","1","ES","E","BSE","6.2100","5.6300","","","-1"
"530077","FRSHTRP","Freshtrop Fruits","XT","5.0000","1","ES","E","BSE","200.5500","181.4500","","","-1"
"19025","KIRLOSIND","Kirloskar Industries","EQ","5.0000","1","ES","E","NSE","3839.2500","2559.5500","","","31254"
"15039","CERA","Cera Sanitaryware","EQ","5.0000","1","ES","E","NSE","10467.2000","6978.2000","","","11458"
"7406","GLENMARK","Glenmark Pharmaceuticals","EQ","5.0000","1","ES","E","NSE","864.1000","707.0000","","","127257"
"533208","EMAMIPAP","Emami Paper Mills","B","5.0000","1","ES","E","BSE","163.6000","109.1000","","","-1"
"14788","SPARC","Sun Pharma Advanced Research","EQ","5.0000","1","ES","E","NSE","267.1500","178.1500","","","449107"
"9079","WALCHANNAG","WALCHANDNAGAR INDUSTRIES","BE","5.0000","1","ES","E","NSE","115.3500","110.8500","","","884148"
"532408","MEGASOFT","Megasoft","T","1.0000","1","ES","E","BSE","47.8500","45.9900","","","-1"
"532931","BURNPUR","Burnpur Cement","B","1.0000","1","ES","E","BSE","5.0500","4.5700","","","-1"
"505036","ACGL","Automobile Corporation Of Goa","X","5.0000","1","ES","E","BSE","1753.0000","1168.7000","","","-1"
"536264","TIGERLOGS","Tiger Logistics L","X","5.0000","1","ES","E","BSE","521.9000","348.0000","","","-1"
"21427","THEINVEST","The Invest Trust Of India","EQ","5.0000","1","ES","E","NSE","82.8000","74.9500","","","1267396"
"504000","ELPROINTL","Elpro International","B","1.0000","1","ES","E","BSE","93.6600","62.4400","","","-1"
"512437","APOLLOFI","Apollo Finvest Lt","X","5.0000","1","ES","E","BSE","590.8500","393.9500","","","-1"
"541096","BPLPHARMA","Bharat Parenterals Limite","XT","5.0000","1","ES","E","BSE","577.5000","522.5000","","","-1"
"517385","SYMPHONY","Symphony","A","5.0000","1","ES","E","BSE","1055.2000","703.5000","","","-1"
"500296","NAHARSPING","Nahar Spinning Mills","B","5.0000","1","ES","E","BSE","316.6500","211.1500","","","-1"
"6364","NATIONALUM","National Aluminium Co.Ltd","EQ","5.0000","1","ES","E","NSE","102.5500","83.9500","","","1070756"
"532884","REFEX","Refex Industries","B","5.0000","1","ES","E","BSE","696.9500","630.6500","","","-1"
"530571","EXPLICITFIN","Explicit Finance","X","1.0000","1","ES","E","BSE","3.8100","3.4500","","","-1"
"500033","FORCEMOT","Force Motors","B","5.0000","1","ES","E","BSE","3934.6500","3559.9500","","","-1"
"14552","PHOENIXLTD","The Phoenix Mills","EQ","5.0000","1","ES","E","NSE","2143.5500","1429.0500","","","55908"
"532613","VIPCLOTHNG","VIP Clothing Limited","B","1.0000","1","ES","E","BSE","57.0800","38.0600","","","-1"
"513511","PANCHMAHQ","Panchmahal Steel","X","5.0000","1","ES","E","BSE","169.5500","113.0500","","","-1"
"533261","EROSMEDIA","Eros International Media","B","1.0000","1","ES","E","BSE","22.0400","14.7000","","","-1"
"11667","DWARKESH","Dwarikesh Sugar","EQ","5.0000","1","ES","E","NSE","127.5500","85.0500","","","940565"
